epoch,places,demand,T,S,A,revisits,iterations
0,367,1835,0.6904632152588556,0.2,0.10953678474114441,1259,206
1,367,1835,0.6899182561307902,0.2,0.11008174386920981,1201,201
2,367,1835,0.6926430517711172,0.2,0.10735694822888284,1564,268
3,367,1835,0.6915531335149864,0.2,0.10844686648501363,1410,229
4,367,1835,0.6931880108991826,0.2,0.10681198910081743,1042,182
5,367,1835,0.691008174386921,0.2,0.10899182561307902,3337,462
6,367,1835,0.688283378746594,0.2,0.11171662125340599,1692,237
7,367,1835,0.6904632152588556,0.2,0.10953678474114441,2201,306
8,367,1835,0.691008174386921,0.2,0.10899182561307902,2953,382
9,367,1835,0.6899182561307902,0.2,0.11008174386920981,1072,207
