epoch,places,demand,T,S,A,iterations
0,367,9175,0.6984196185286103,0.2,0.10158038147138965,276
1,367,9175,0.6984196185286103,0.2,0.10158038147138965,191
2,367,9175,0.6980926430517711,0.2,0.10190735694822889,269
3,367,9175,0.6975476839237057,0.2,0.10245231607629428,208
4,367,9175,0.6976566757493188,0.2,0.1023433242506812,246
5,367,9175,0.6978746594005449,0.2,0.10212534059945504,215
6,367,9175,0.697983651226158,0.2,0.10201634877384196,245
7,367,9175,0.6983106267029973,0.2,0.10168937329700273,184
8,367,9175,0.697983651226158,0.2,0.10201634877384196,160
9,367,9175,0.6983106267029973,0.2,0.10168937329700273,300
