epoch,places,demand,T,C,S,A,revisits,iterations
0,367,1835,0.49100817438692096,0.2,0.2,0.10899182561307902,1138,182
1,367,1835,0.49100817438692096,0.2,0.2,0.10899182561307902,1139,173
2,367,1835,0.49100817438692096,0.2,0.2,0.10899182561307902,2052,287
3,367,1835,0.4904632152588556,0.2,0.2,0.10953678474114441,1490,203
4,367,1835,0.49264305177111717,0.2,0.2,0.10735694822888284,1586,249
5,367,1835,0.49155313351498636,0.2,0.2,0.10844686648501363,1446,202
6,367,1835,0.4904632152588556,0.2,0.2,0.10953678474114441,1799,224
7,367,1835,0.4904632152588556,0.2,0.2,0.10953678474114441,1842,277
8,367,1835,0.49100817438692096,0.2,0.2,0.10899182561307902,1017,169
9,367,1835,0.4893732970027248,0.2,0.2,0.1106267029972752,1257,221
